name,MW,logP,MR,AtX,HBLA,HBLD,RB,PSA,DT,M,LD50,SA,DT_test,M_test,LD50_test,DT_admet,M_admet,LD50_admet,SA_ambit,SA_brsa,SA_rdkit,smile
Fingolimod,307.48,3.20,92.93,22,3,3,12,66.48,0.61,0.14,5986.27,86.658,0.61,0.14,5986.27,0.09,0.17,2753.66,,73.125,86.658,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
Levodopa,197.19,0.05,49.09,14,4,4,3,103.78,0.53,0.26,2042.91,84.143,0.53,0.26,2042.91,0.14,0.28,2199.01,,78.355,84.143,NC(Cc1ccc(O)c(O)c1)C(=O)O
Tyrosine,181.19,0.35,47.42,13,3,3,3,83.55,0.74,0.08,1796.39,87.238,0.74,0.08,1796.39,0.17,0.12,1787.20,,77.379,87.238,NC(Cc1ccc(O)cc1)C(=O)O
Triheptanoin,428.61,5.90,118.08,30,6,0,20,78.90,0.37,0.53,14778.57,86.445,0.37,0.53,14778.57,0.02,0.03,17768.65,,78.829,86.445,CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC
Trolox,250.29,2.49,67.31,18,3,2,1,66.76,0.82,0.67,3832.14,75.823,0.82,0.67,3832.14,0.11,0.05,1344.12,,63.708,75.823,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2
Midazolam,325.77,4.32,89.05,23,2,0,1,30.18,0.49,-0.08,2186.59,82.567,0.49,-0.08,2186.59,0.18,0.37,1387.70,,55.753,82.567,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
Melatonina,232.28,1.86,67.24,17,2,2,4,54.12,0.77,0.08,1913.49,89.911,0.77,0.08,1913.49,0.19,0.63,1368.34,,84.542,89.911,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
Diazepam,284.75,3.15,81.81,20,2,0,1,32.67,0.73,0.06,1709.77,87.548,0.73,0.06,1709.77,0.04,0.06,1526.27,,70.090,87.548,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
Clenbuterol,277.19,3.00,73.59,17,3,3,3,58.28,0.52,0.10,988.71,79.460,0.52,0.10,988.71,0.04,0.08,703.70,,77.097,79.460,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1
Fluoxetine,309.33,4.44,79.80,22,2,1,6,21.26,0.80,0.16,1068.53,83.907,0.80,0.16,1068.53,0.14,0.05,1090.23,,78.650,83.907,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
Valproic acid,144.21,2.29,40.94,10,1,1,5,37.30,0.86,0.00,1452.10,88.567,0.86,0.00,1452.10,0.03,0.03,3062.08,,85.420,88.567,CCCC(CCC)C(=O)O
CX546,247.29,2.08,67.19,18,3,0,1,38.77,0.60,0.45,1379.16,91.073,0.60,0.45,1379.16,0.05,0.06,1354.75,,85.997,91.073,O=C(c1ccc2c(c1)OCCO2)N1CCCCC1
Carbamazepina,236.27,3.39,73.53,18,1,1,0,46.33,0.79,0.43,1625.06,86.003,0.79,0.43,1625.06,0.12,0.23,2667.87,,62.034,86.003,NC(=O)N1c2ccccc2C=Cc2ccccc21
Curcumin,368.39,3.37,102.02,27,6,2,8,93.06,0.91,0.07,894.92,84.159,0.91,0.07,894.92,0.06,0.50,2948.70,,78.035,84.159,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
Tianeptina,436.96,4.19,114.05,29,4,2,8,86.71,0.72,0.12,1291.71,76.865,0.72,0.12,1291.71,0.33,0.04,873.51,,36.131,76.865,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O
Allopregnanolone,318.50,4.60,91.90,23,2,1,1,37.30,0.99,0.00,1239.60,66.068,0.99,0.00,1239.60,0.03,0.02,2739.08,,37.227,66.068,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
Clonidina,230.10,2.36,60.39,14,3,2,1,36.42,0.51,0.22,322.51,83.891,0.51,0.22,322.51,0.16,0.09,114.51,,81.150,83.891,Clc1cccc(Cl)c1NC1=NCCN1
Desipramine,266.39,3.53,85.84,20,2,1,4,15.27,0.64,-0.02,429.39,89.455,0.64,-0.02,429.39,0.32,0.17,1708.35,,72.809,89.455,CNCCCN1c2ccccc2CCc2ccccc21
Donepezil,379.50,4.36,110.13,28,4,0,6,38.77,0.73,0.23,595.33,81.364,0.73,0.23,595.33,0.45,0.12,244.43,,67.600,81.364,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
Lamotrigine,256.10,2.01,64.11,16,5,2,1,90.71,0.71,0.08,277.83,84.173,0.71,0.08,277.83,0.19,0.31,587.82,,76.934,84.173,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
Trazodona,371.87,2.36,104.17,26,4,0,5,45.78,1.23,0.65,836.15,86.204,1.23,0.65,836.15,0.66,0.23,639.86,,73.995,86.204,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
Mirtazapine,265.36,2.48,81.07,20,3,0,0,19.37,0.70,0.05,526.51,79.752,0.70,0.05,526.51,0.45,0.30,486.59,,56.396,79.752,CN1CCN2c3ncccc3Cc3ccccc3C2C1
Glutamic Acid,147.13,-0.74,32.48,10,3,3,4,100.62,0.35,0.33,3170.14,85.317,0.35,0.33,3170.14,0.07,0.16,2276.43,,74.487,85.317,NC(CCC(=O)O)C(=O)O
Trofinetide,315.33,-1.24,74.84,22,5,4,7,150.03,0.76,0.35,2195.36,74.339,0.76,0.35,2195.36,0.05,0.14,4321.99,,67.694,74.339,CC1(C(=O)NC(CCC(=O)O)C(=O)O)CCCN1C(=O)CN
Lovastatin,404.55,4.20,110.84,29,5,1,6,72.83,0.75,0.08,390.76,58.996,0.75,0.08,390.76,0.03,0.11,2339.50,,24.608,58.996,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
Citalopram,324.40,3.81,90.91,24,3,0,5,36.26,0.78,0.48,384.98,76.718,0.78,0.48,384.98,0.44,0.39,429.71,,64.075,76.718,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
Blarcamesine,281.40,3.53,86.28,21,2,0,4,12.47,0.36,-0.10,137.40,79.262,0.36,-0.10,137.40,0.24,0.14,750.14,,48.522,79.262,CN(C)CC1CCOC1(c1ccccc1)c1ccccc1
Lysine,146.19,-0.47,38.52,10,3,3,5,89.34,0.60,0.15,1676.09,83.626,0.60,0.15,1676.09,0.03,0.27,2395.60,,79.301,83.626,NCCCCC(N)C(=O)O
Vigabatrin,129.16,0.36,35.04,9,2,2,4,63.32,0.78,0.29,2025.54,75.462,0.78,0.29,2025.54,0.03,0.07,1349.19,,52.924,75.462,C=CC(N)CCC(=O)O
Cannabidiol,314.47,5.85,97.04,23,2,2,6,40.46,0.72,0.07,426.50,72.653,0.72,0.07,426.50,0.02,0.06,393.83,,47.798,72.653,C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O
Gentamicin,477.60,-3.33,119.93,33,12,8,7,199.73,0.71,0.10,12250.44,51.971,0.71,0.10,12250.44,0.00,0.40,9608.96,,13.288,51.971,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1
Naltrexone,341.41,1.53,89.80,25,5,2,2,70.00,0.79,0.26,573.36,54.738,0.79,0.26,573.36,0.41,0.22,131.09,,8.237,54.738,O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5
"7,8-Dihydroxyflavone",254.24,2.87,71.25,19,4,2,1,70.67,0.78,0.01,138.02,87.750,0.78,0.01,138.02,0.07,0.51,1080.60,,71.733,87.750,O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12
