"Name","SMILES","Reference/DOI","Paper Title","Note"
"Fingolimod","CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N","https://doi.org/10.1186/s13023-020-01655-7","Fingolimod in children with Rett syndrome: the FINGORETT study","Sphingosine-1-phosphate receptor modulator evaluated in the FINGORETT clinical study in girls with Rett syndrome to reduce neuroinflammation and improve neurological function."
"Levodopa","C1=CC(=C(C=C1CC(C(=O)O)N)O)O","https://doi.org/10.1038/npp.2014.136","Improvement of the Rett syndrome phenotype in a MeCP2 mouse model upon treatment with levodopa and a dopa-decarboxylase inhibitor","Dopamine precursor used together with a dopa-decarboxylase inhibitor; improved phenotype in MeCP2-mutant mice with effects on motor function and the dopaminergic system."
"Tyrosine","C1=CC(=CC=C1CC(C(=O)O)N)O","https://doi.org/10.1016/s0387-7604(12)80197-5","Biochemical and clinical effects of tyrosine and tryptophan in the Rett syndrome","Catecholamine precursor amino acid; studied in RTT for its biochemical effects on dopamine and serotonin metabolism in combination with tryptophan."
"Triheptanoin","CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC","https://doi.org/10.1371/journal.pone.0109527","Anaplerotic triheptanoin diet enhances mitochondrial substrate use to remodel the metabolome and improve lifespan, motor function, and sociability in MeCP2-null mice","Anaplerotic 7-carbon medium-chain triglyceride; improved mitochondrial function and lifespan in Mecp2-null mice by remodeling the brain metabolome."
"Trolox","CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C","https://doi.org/10.3389/fncel.2016.00266","Systemic Radical Scavenger Treatment of a Mouse Model of Rett Syndrome: Merits and Limitations of the Vitamin E Derivative Trolox","Water-soluble vitamin E analogue with antioxidant activity; evaluated in RTT mice to reduce oxidative stress; showed partial benefits with long-term limitations."
"Midazolam","CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F","https://doi.org/10.1016/j.resp.2011.02.002","The benzodiazepine Midazolam mitigates the breathing defects of Mecp2-deficient mice","Short-acting benzodiazepine; mitigated breathing defects in Mecp2-deficient mice by acting on GABA-A receptors in respiratory brainstem centers."
"Melatonin","CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC","https://doi.org/10.1002/phar.1686","Management of sleep disorders in children with neurodevelopmental disorders: A review","Neuroendocrine hormone with antioxidant properties; used in RTT for management of sleep disorders common in the syndrome; reviewed as part of pharmacological strategies in neurodevelopmental disorders."
"Diazepam","CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3","https://doi.org/10.1111/pan.13066","A case-controlled comparison of postoperative analgesic dosing between girls with Rett syndrome and girls with and without developmental disability undergoing spinal fusion surgery","GABA-A agonist benzodiazepine; studied in the context of postoperative pain management in girls with RTT undergoing spinal fusion surgery; useful for spasm and anxiety control."
"Clenbuterol","CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O","https://doi.org/10.1038/nrd4417","Neurodevelopmental disorders: Righting Rett syndrome with IGF1","Beta-2 adrenergic agonist that stimulates IGF-1 production; proposed as a therapeutic strategy for RTT based on the IGF-1/PI3K signaling pathway."
"Fluoxetine","CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F","https://doi.org/10.1038/s41598-021-94156-x","Fluoxetine increases brain MeCP2 immuno-positive cells in a female Mecp2 heterozygous mouse model of Rett syndrome through endogenous serotonin","SSRI that increased MeCP2 immunopositive cells in heterozygous Mecp2 mice via endogenous serotonin; also rescued motor deficits in a heterozygous RTT mouse model."
"Valproic acid","CCCC(CCC)C(=O)O","https://doi.org/10.3390/ph15020192","SAMe, choline, and valproic acid as possible epigenetic drugs: Their effects in pregnancy with a special emphasis on animal studies","Antiepileptic drug with epigenetic properties (HDAC inhibitor); reviewed as an epigenetic agent with potential modulatory effect in RTT; also documented as a teratogen with a relevant risk profile."
"CX546","C1CCN(CC1)C(=O)C2=CC3=C(C=C2)OCCO3","https://doi.org/10.15252/emmm.202012433","The enhancement of activity rescues the establishment of Mecp2 null neuronal phenotypes","Positive allosteric modulator of AMPA receptors (ampakine); rescued neuronal phenotypes in Mecp2-null cells by enhancing glutamatergic synaptic activity and neuronal plasticity."
"Carbamazepine","C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N","https://doi.org/10.1016/j.ejpn.2015.02.007","Antiepileptic drugs in Rett syndrome","Sodium channel-blocking antiepileptic drug; documented in clinical use in RTT patients for seizure control; reviewed in a European multicenter study on antiepileptic drugs in RTT."
"Curcumin","COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O","https://doi.org/10.1371/journal.pone.0064863","Vascular dysfunction in a mouse model of Rett syndrome and effects of curcumin treatment","Natural polyphenol with anti-inflammatory and antioxidant properties; corrected vascular dysfunction in a Mecp2-deficient RTT mouse model by improving vasodilatory responses."
